Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,"Felsőfokú intézmények nappali tagozatos hallgatói (képzés helye szerint), 1000 lakosra (fő)",Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Közcsatornahálózatba bekapcsolt lakások aránya (százalék),Kulturális rendezvényeken részt vevők száma egy főre,Legközelebbi legalább 50 ezer fős város elérési ideje közúton a legrövidebb úton (perc),Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),"Alkotó művelődési közösségek tagjai, 100 lakosra (fő)",Bevásárlóközpontok (városok) (igen-nem),Házi segítségnyújtásban részesülők ezer főre,Helyközi autóbusz-megálló léte (igen-nem),Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Kormányablak léte (igen-nem),Közüzemi szennyvízgyűjtő-hálózatban (közcsatornában) tisztítottan elvezetett szennyvíz aránya (százalék),Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Lakott területen történt összes közúti közlekedési baleset ezer főre (eset),Mozi léte (igen-nem),"Múzeumi látogatók, 100 lakosra (fő)","Működő kórházi ágy, 1000 lakosra (db)",Önkormányzat által kiutalt lakások ezer főre (db),Postai szolgáltatóhelyek tízezer lakosra,"Rendőrkapitányság, határrendészeti kirendeltség, rendőrőrs, körzeti megbízott székhely léte (igen-nem)","Rendszeres művelődési formákban résztvevők, 100 lakosra (fő)",Szállított utasok a helyi tömegközlekedésben (városok) (1000 fő),"Személygépkocsi, 1000 lakosra (db)",Színház léte (igen-nem),Színházak látogatói (fő),"Természetes szaporodás, fogyás (ezrelék)",Utaskilométer a helyi tömegközlekedésben (városok) (1000 km),Vasútállomás léte (igen-nem),Indexpontszám,Rangsor
Anarcs,Kistelepülés,2014,"-15,3","9,9","7,2","791661,1",0,"388,5","16,65",93,0,"98,3","164201,712",0,1924,"31,2","37,6",0,0,0,0,"0,6","52,69","36,4","9,7","78,8",100,"49,1","9,4","20,8","26,3",0,1,"123,7",100,"187,1","41,6",1,90,"1,34",1,1,0,0,0,"5,2",100,0,,"265,6",1,,"-0,5",,1,"8,1",1320
Hidas,Kistelepülés,2014,"-4,9","7,4","6,8","544930,8",0,"100,1","20,54","96,8",0,"16,2","50135,3998",0,2024,"44,5","50,8",0,"4,9",0,"68,69","0,1","36,61","59,3",5,100,22,"39,3",0,"44,5","12,9","1,7",1,"14,3",100,"224,3","79,1",1,100,0,"1,5",1,3,0,0,"4,9",1,"2,1",,"323,1",1,,"-5,4",,100,"8,1",1281
Nyírgyulaj,Kistelepülés,2014,"5,9","10,9","4,1","582706,4",0,"156,5","5,74",93,"58,8",26,"53527,4617",0,2021,"54,4","42,4",0,"4,9",0,0,"1,1","31,34","24,7","10,9",100,"17,6","44,7",0,"19,8","26,1",0,1,"18,3",100,"150,4","49,5",1,90,0,"0,5",1,0,0,0,"4,9",100,"6,7",,243,1,,"-5,9",,1,8,1373
Galgamácsa,Kistelepülés,2014,-33,"8,2","11,2","951072,5",0,"155,6","13,33","94,5","95,5","6,6","26742,7507",0,"857,5",35,"42,2",0,"5,8","0,6","65,27","1,7","45,9","29,2","2,2",100,13,"46,7",0,35,"19,4","4,1",1,"2,9",100,"257,7",35,1,100,0,0,1,0,0,0,"5,8",100,"8,8",,"360,4",1,,-8,,100,10,321
Nyírvasvári,Kistelepülés,2014,0,"27,8","4,8",577876,0,"230,8","3,75","87,5","47,2","65,7","73895,1426",0,1939,"30,9","39,9",0,"5,2",0,0,"0,8","44,64","20,6","10,6",100,"22,3","43,4",0,"30,9","18,4","1,8",1,"36,1",100,"125,3","61,9",1,90,0,0,1,0,0,0,"5,2",100,"6,2",,"251,2",1,,"-2,1",,1,"8,1",1277
Domoszló,Kistelepülés,2014,"-13,3","13,5","8,5","1016074,4",0,"427,7","12,1","98,2","26,9","316,4","227305,026",1,1933,31,"48,6",0,"5,2","0,5","73,56","1,6","32,98","25,9","4,2","96,4","18,8","47,3","43,6","15,5","17,8","5,1",1,"16,6",100,"239,5",31,1,100,0,"0,5",1,0,0,0,"5,2",100,5,,"377,7",1,,"-4,6",,1,10,311
Zagyvaszántó,Kistelepülés,2014,"13,2","15,3","7,7","911788,7",0,"106,2","15,61","93,7","47,6","14,6",0,0,1966,"25,4","52,3",0,"5,1","0,5","82,99","1,4","51,08","40,7","4,9",100,100,"46,7","9,2","45,8","17,3","1,4",1,"3,6",100,"225,8",0,1,100,"1,79","1,5",1,0,0,0,"5,1",100,"4,8",,"285,9",1,,"-8,2",,100,"9,5",474
Dunasziget,Kistelepülés,2014,"25,1","13,9","9,4","717194,7",0,159,"7,7",100,0,"69,6","91965,9501",0,1582,"25,3","40,9",0,"6,3",0,100,"0,5","45,73","9,5","1,3",100,"25,3","43,4","116,6","101,1","5,9",5,1,"14,5",100,196,"31,6",1,100,"3,15",0,1,0,0,0,"6,3",1,"9,9",,"361,6",1,,"1,3",,1,"8,6",938
Bátya,Kistelepülés,2014,"-8,9","13,5","7,5","624257,7",0,"140,7","8,38",100,"43,8","24,3",0,0,2007,"39,9","46,5",0,5,0,"85,52","0,2","80,19","29,9","9,5",100,"58,7","44,1",9,"39,9","19,8",0,1,"51,3",100,"190,3",0,1,100,0,"1,5",1,0,0,0,5,100,0,,"360,2",1,,"-6,9",,1,"8,9",735
Tiszaszentimre,Kistelepülés,2014,-13,"11,8","5,5","636744,8",0,"316,1","11,92","99,4","65,9","60,2","76011,327",1,2041,"44,1","55,9",0,"4,9",0,0,"5,2","62,55","44,1","5,2",100,"32,1","48,4","8,9","29,4",25,"23,4",1,22,100,"172,5",0,1,90,0,0,1,0,0,0,"4,9",100,"34,1",,"277,8",1,,-12,,100,"9,2",606
Császár,Kistelepülés,2014,"3,3","2,2","7,8","1043905,7",0,163,"11,93","99,9","32,4","27,1","8226,56017","1,4",1826,"27,4","48,1",0,"5,5","2,2","90,33","2,1","31,28","43,8","4,3","39,3","67,1","50,9",0,"38,3","17,7","2,5",1,23,100,"215,2",0,1,100,0,"0,5",1,0,0,0,"5,5",100,10,,"283,1",1,,"-1,6",,1,"9,6",436
Magyarbánhegyes,Kistelepülés,2014,"7,5","8,8","5,4","546197,3",0,"317,4","13,31","97,7","35,3","72,9","82122,7097",0,2269,"35,3","48,7",0,"4,4","2,2","66,03","2,9","38,71","44,1","3,7","93,2","28,2","45,6",0,"39,7","22,7","1,1",1,"121,6",100,"166,2","61,7",1,100,0,"1,3",1,0,0,0,"4,4",100,"5,5",,"215,5",1,,"-10,6",,100,"9,4",513
Rákócziújfalu,Kistelepülés,2014,"8,2","13,8",5,"731983,1",0,"148,8","5,74",98,"75,7","39,3","39322,8706","1,4",1952,"51,2","36,6",0,"5,1",0,"86,2","4,7","16,42","25,6","8,3",100,"68,1","48,5",0,"15,4",25,"8,5",1,"11,8",100,"180,8","15,4",1,100,0,2,1,0,0,0,"5,1",100,"19,5",,"216,7",1,,"1,5",,1,"9,5",476
Mosonszolnok,Kistelepülés,2014,"-8,8","18,9","6,4","899034,2",0,"439,9","336,47",94,0,"78,8","27825,649","8,6",1692,"29,6",40,0,"5,9","1,2","87,5","3,1","36,08","29,6","0,8",100,"21,5","51,8",0,"53,2","41,7","8,3",1,"3,5",100,"230,5","82,7",1,100,"3,85","0,6",1,0,0,0,"5,9",100,"13,9",,"377,7",1,,"10,6",,100,"10,8",157
Leányvár,Kistelepülés,2014,"-7,6","8,2","12,8","962488,8",0,"109,9","21,67","93,5",0,"17,2","36545,6523","3,2",1708,"35,1",49,0,0,0,"90,79","0,9","44,22",41,"2,6",100,"60,8","45,9","10,6","29,3","15,4","4,5",1,"13,5",100,"192,6",0,1,100,"4,76","0,6",1,0,0,0,"5,9",100,"11,5",,"314,4",1,,"2,9",,100,9,712
Enese,Kistelepülés,2014,"-11,1","7,7","9,7","1188009,7",0,"151,3","37,77","95,9",0,"20,2","49480,0415","1,6",1699,"58,9","40,8",0,"5,9",0,"92,53",0,"20,32","35,3",2,100,"46,3","52,3",0,"41,2","16,7","5,2",1,"4,7",100,"247,8",0,1,100,"0,36","0,6",1,0,0,0,"5,9",1,"8,1",,"350,8",1,,"0,6",,100,"9,4",531
Encsencs,Kistelepülés,2014,-19,"43,5","3,6","454571,7",0,"281,1","2,24","83,4","21,4","41,9","86913,8243",0,1933,"36,2","46,8",0,"5,2",0,0,"2,1","53,46","25,9","14,3","81,1","12,9","38,7",0,"20,7","21,9","1,2",1,15,100,"97,3","67,3",1,90,0,"0,5",1,0,0,0,"5,2",100,"2,8",,"197,1",1,,"9,3",,1,"7,4",1886
Csomád,Kistelepülés,2014,"6,3",12,18,"1294907,8",0,"263,9",0,"91,1","162,6","167,6","138483,848",0,1585,"9,5","43,4",0,0,0,"76,2","6,1","32,83","9,5","2,4",100,"10,2",48,0,"9,5",10,"8,5",1,"1,3",100,"264,4","6,3",1,100,"5,55",0,1,0,0,0,"6,3",100,"23,8",,"7226,5",1,,"3,2",,100,"10,9",149
Pátka,Kistelepülés,2014,-3,"21,8","9,1","931982,6",0,"94,3","8,14",100,0,"30,1","22092,0108","4,3",1652,"24,2","43,9",0,"6,1",0,"75,83",1,"21,19","9,1","2,9","91,1","15,7","53,1",11,"18,2","16,7","2,1",1,0,100,"210,7",0,1,100,"2,03","0,6",1,0,0,0,"6,1",100,"5,4",,"299,6",1,,"-7,8",,1,"8,4",1055
Nyírtass,Kistelepülés,2014,"-10,9",8,"5,2","627503,4",0,"212,2","13,82","92,1",0,43,"216959,737","1,3",2001,90,"40,5",0,5,0,"84,09","0,8","36,49",70,"7,3","25,2","35,8",47,9,40,"23,4","0,5",1,"111,4",100,"161,4",25,1,100,0,1,1,0,0,0,5,1,2,,"248,9",1,,-5,,1,"8,4",1035
Bócsa,Kistelepülés,2014,-5,"12,1","6,2",596430,0,"170,3","44,86","51,4","86,3","56,6","128143,361","3,4",1813,"55,2","44,9",0,"5,5",0,0,"1,9","40,28","49,6","3,1",50,"15,1","46,2","40,4","60,7",16,"1,5",1,"8,3",100,"198,6",0,1,90,0,"0,6",1,0,0,0,"5,5",100,"1,9",,"477,7",1,,"1,1",,1,"8,8",831
Kocsér,Kistelepülés,2014,"5,9","6,5","5,7","646904,8",0,"172,4","6,33","51,6",0,"74,4","65769,5915",0,1855,"48,5","53,8",0,"5,4",0,0,"0,3","32,19","64,7","5,1","94,9",10,"41,6","9,8","37,7","12,5",0,1,"15,1",100,"161,2","75,5",1,90,"0,98",0,1,0,0,0,"5,4",100,"2,2",,"314,8",1,,"-8,6",,1,"7,3",1951
Tar,Kistelepülés,2014,"-7,1","22,6","7,3","589992,7",0,"124,5","6,28","86,2","41,2","29,4","3958,57966",0,1817,44,"55,7",0,0,"1,1","74,04","2,4","64,23","27,5","9,6",20,"19,2","38,8","2,5","27,5","23,7","4,7",1,"19,3",100,"181,1",55,1,100,0,"1,1",1,0,0,0,"5,5",1,"7,6",,"248,8",1,,"-7,1",,100,"8,1",1295
Visegrád,Kistelepülés,2014,"30,8","19,4","21,8","817620,4",0,"607,6","50,93","80,5","78,3","291,8","872090,18",0,,83,"66,6",0,"5,5","0,6","64,33","4,6","49,41",94,2,100,"26,9","39,3","335,1","193,6","12,5","4,7",1,"7,7",100,"256,1",0,1,100,0,0,100,"6307,6","127,2",0,"5,5",100,"9,1",,"335,7",1,,"-2,2",,100,"13,3",33
Tarnaörs,Kistelepülés,2014,"6,1","44,9","3,2","529336,1",0,"188,3","3,28","96,9","25,8","39,7",0,0,1805,"38,8","55,6",0,"5,5","0,6",0,"4,7","61,37","44,3","11,9","97,5","13,7","38,1",0,"27,7","14,6","2,8",1,0,100,"132,4",0,1,90,0,0,1,0,0,0,"5,5",100,"8,3",,179,1,,"6,7",,1,"7,5",1776
Dávod,Kistelepülés,2014,"-0,5","7,3","5,1","579283,1",0,"552,3","15,46",100,"38,9","409,2","442381,546",0,1923,"41,6","52,1",0,"5,2",0,"47,64","1,9","70,79","41,6","7,4","70,4","20,9","42,8","55,3",52,"10,1",0,1,"13,5",100,208,"31,2",1,90,0,0,1,0,0,0,"5,2",100,"10,9",,"288,1",1,,"-2,1",,1,"9,7",423
Heréd,Kistelepülés,2014,"1,6","2,2",7,"1014278,2",0,"152,8","8,9","96,6","79,7","19,7",0,0,1860,"26,9","46,1",0,"5,4",0,"84,52","2,1","43,24","26,9","5,1",100,"16,7",51,0,"32,3","12,8","6,7",1,0,100,"230,6",0,1,100,"1,42","0,5",1,0,0,0,"5,4",100,"7,1",,"309,1",1,,"-5,4",,1,"9,5",491
Taktaszada,Kistelepülés,2014,"-15,5","30,1","2,9","498807,6",0,189,"2,68","81,8",0,"23,2","46543,5245",0,1924,"36,4","50,4",0,"5,2",0,0,"0,7","35,85","31,2","13,1","96,6",24,"41,6",0,"20,8","27,8","0,5",1,"9,4",100,80,"83,2",1,90,0,"1,6",1,0,0,0,"5,2",100,"3,9",,"152,3",1,,"7,2",,100,7,2228
Gyulaháza,Kistelepülés,2014,"-1,6","6,3","4,6","656000,3",0,"299,9",0,"89,1",0,"78,1","22283,8916","1,5",1919,"36,5","38,9",0,"5,2",0,0,"0,3","54,21","57,3","11,4","85,2","57,8","44,1",0,"36,5","21,3",0,1,"59,4",100,174,73,1,90,0,"0,5",1,0,0,0,"5,2",100,0,,247,1,,"-11,9",,1,"7,8",1476
Márkó,Kistelepülés,2014,"-5,8","7,5","16,3","1261347,2",0,"148,7","24,48",97,"174,6","18,2","694617,761","14,1",1208,"24,8","38,9",0,0,"0,8","96,72","5,5","13,41","33,1","1,5",100,"10,4","55,2",0,"12,4","18,8","24,8",1,"26,5",100,"212,7",0,1,100,0,0,1,0,0,0,"8,3",1,"39,9",,"368,4",1,,"6,6",,100,"11,3",104
Nyirád,Kistelepülés,2014,"-5,8","8,5","5,3","739749,8",0,"124,7","12,75",100,0,"17,3","23463,466",0,1883,"31,9","51,5",0,"5,3","1,1","96,01","0,6","48,61","21,2","2,5",100,"61,8","45,9",0,"26,6","24,4",0,1,"12,7",100,"182,2",0,1,100,0,0,1,0,0,0,"5,3",100,"2,6",,"276,7",1,,"-4,2",,1,"8,1",1247
Csetény,Kistelepülés,2014,"1,6","10,8","5,3","923409,2",0,"141,1","11,86",100,"70,7","7,2","6044,4081","1,4",1857,"32,3","42,3",0,"5,4",0,"98,58","2,1","35,29","48,5","2,8","55,3","21,6","51,5",78,"32,3","11,4",0,1,"19,4",100,"213,2",0,1,100,"20,04","0,5",1,0,0,0,"5,4",100,"2,4",,314,1,,"-9,6",,1,"9,5",477
Vácduka,Kistelepülés,2014,"14,5","5,8","15,3","1062113,2",0,94,"8,69","95,1","156,3","2,2","3658,39243","12,2",1388,"21,6","48,1",0,0,"2,2","78,25","0,4","39,21","10,8","2,7","66,7","40,2","45,8",0,36,"22,6",0,1,0,100,"241,4",0,1,100,"14,34",0,1,0,0,0,"7,2",100,"2,2",,312,1,,"2,9",,1,"10,2",276
Vértesacsa,Kistelepülés,2014,"2,3","6,8","7,8","783104,7",0,"99,2","9,07",100,0,"23,7","3248,42752",0,1761,"22,7","53,1",0,"5,7",0,"97,21","1,2","32,64","22,7","3,9","88,3","17,5","45,2","10,3",17,15,"5,5",1,"5,7",100,"119,3",0,1,100,"0,91",0,1,0,0,0,"5,7",100,"7,3",,"272,6",1,,"-1,1",,1,"8,1",1323
Nyírtura,Kistelepülés,2014,"-5,2","8,6","10,8","823472,1",0,280,"11,86","85,1","89,3",41,"1158,66174",3,1747,"40,1","38,1",0,"5,7","1,1","82,54","9,6","17,64","40,1","5,7",100,100,"51,3","10,4","17,2","13,3",0,1,"43,5",100,"164,9",0,1,100,0,"1,7",1,0,0,0,"5,7",1,"2,3",,"329,1",1,,"2,9",,1,"10,6",189
Soponya,Kistelepülés,2014,"1,1","17,1","6,5","822478,4",0,"155,8","15,46","90,6",0,11,"4631,42215","1,5",1813,"33,1","44,7",0,"5,5",0,"62,98","1,8","22,82","66,2","2,9","36,5","25,1","49,3",0,"27,6","6,3","3,4",1,"7,7",100,"211,3",0,1,100,"0,53","1,7",1,0,0,0,"5,5",100,"6,4",,"287,4",1,,"2,2",,1,"8,4",1070
Váchartyán,Kistelepülés,2014,"9,5","11,9","10,8","848391,2",0,"96,1","16,74",93,0,"46,8","63581,3149","1,5",1687,"23,7",39,0,"5,9",0,"78,42",0,"40,58","59,3",4,100,"27,3","44,3",0,"41,5","15,9",0,1,0,100,"250,1",0,1,100,0,"1,2",1,0,0,0,"5,9",1,"2,8",,"356,3",1,,"-7,7",,100,"8,7",869
Sármellék,Kistelepülés,2014,"20,5","7,2","6,1","679792,6",0,"780,2","14,1","92,4","83,1","618,8","1187146,39",0,1804,"27,7","49,1",0,"5,5","1,1","64,48","2,3","40,51","38,8","5,3",76,"68,4","46,9","7,2","33,3","19,1","3,7",1,"18,3",100,"207,9",0,1,100,"0,31","1,1",1,0,0,0,"5,5",100,"19,2",,"327,6",1,,"-13,9",,1,11,131
Gégény,Kistelepülés,2014,"-21,5","6,7","4,9","671791,2",0,"152,8","5,74","90,2",0,"22,4",0,0,1926,"46,7","38,6",0,"5,2","0,5","75,93","0,1","34,43","46,7","10,4",100,"97,8","49,2",0,"15,6","25,4",0,1,"57,6",100,"191,1",0,1,100,0,"0,5",1,0,0,0,"5,2",100,0,,"218,6",1,,"-3,1",,100,"8,3",1132
Lábod,Kistelepülés,2014,"-24,3","21,1","6,5","592274,2",0,"247,5","18,55","98,5",0,"44,8","38718,1323",0,972,"25,7","48,2",0,"5,1","0,5",0,"1,3","45,54",36,"15,2","60,9",11,"42,2",0,36,"23,8","0,6",1,"9,3",100,"181,1","56,6",1,90,0,1,1,0,0,0,"5,1",100,5,,"292,2",1,,"-9,6",,1,"7,5",1746
Szurdokpüspöki,Kistelepülés,2014,"2,7",9,"7,7","870810,9",0,"149,3","5,06","96,2","56,6","15,1","111660,232","2,3",1884,"21,2","47,3",0,"5,3",0,0,"3,1","60,13","31,8","5,5","86,2","19,4","48,9","3,1","31,8","8,3","5,5",1,"1,1",100,"218,7",0,1,90,0,0,1,0,0,0,"5,3",1,"7,1",,"301,5",1,,"-4,2",,100,"8,7",860
Kálmánháza,Kistelepülés,2014,"-8,2","9,8","5,4","687847,3",0,"292,7","21,12","84,6","68,5","119,8","138692,483","1,3",,"38,3","37,3",0,"5,5",0,"63,77","6,2","21,15","60,2","9,1",100,"9,6","49,9","9,9","21,9","27,3","2,6",1,"5,5",100,"97,4","268,1",1,100,0,0,1,0,0,0,"5,5",1,"5,9",,"253,8",1,,"-2,7",,1,"9,7",410
Csengele,Kistelepülés,2014,"9,6","10,7","4,8",418377,0,"170,5","40,92","43,2",57,"18,7","3166,45962",1,985,"25,4",53,0,"5,1","0,5",0,"2,5","33,82","40,6","4,2","35,2","11,1","38,8","9,2","20,3","18,1","5,3",1,"7,6",100,"108,1",0,1,90,"3,62",0,1,0,0,0,"5,1",100,"7,7",,367,1,,"-4,6",,100,"7,8",1490
Bercel,Kistelepülés,2014,"3,9","20,8","6,9","724236,3",0,"170,8","27,27","82,4","28,9","8,3","73530,1272",0,2023,"39,5",52,0,"4,9","0,5","72,65","1,1","65,99","64,3",5,"30,3","12,9","44,6","8,9","44,5","19,1","0,5",1,"2,5",100,"158,2","49,4",1,100,0,"0,5",1,0,0,0,"4,9",100,"0,5",,"278,8",1,,"-13,3",,1,"8,7",887
Újlengyel,Kistelepülés,2014,-3,"10,3",7,"844284,8",0,244,0,"95,9",0,"34,2","51121,3931",0,1643,"24,3","45,7",0,"6,1","1,2","86,4","2,2","35,21","60,9","4,3",100,10,"47,4","88,2","42,6","10,9","1,1",1,"7,3",100,224,0,1,100,0,0,1,0,0,0,"6,1",100,"3,4",,"622,6",1,,"-5,4",,1,"8,6",941
Madocsa,Kistelepülés,2014,"-11,7","5,9","7,7","1016677,4",0,"99,5","9,85",100,43,"25,4","27915,3041","1,2",933,"53,6","49,6",0,"5,4","0,5",100,"0,6","60,1","32,2","2,9",100,"25,1",48,0,8,"20,8","4,8",1,"10,2",100,"218,1","176,8",1,100,"17,51",0,1,0,0,0,"5,4",100,"6,9",,"337,6",1,,"-2,1",,1,"9,4",507
Nagyfüged,Kistelepülés,2014,"1,9","14,4","5,2","623080,8",0,"207,9","8,9","93,3","31,8",70,"92587,8427",0,1596,"50,1","59,1",0,"6,3","0,6",0,"0,5","42,74","9,4","8,2",100,"26,9","40,7",0,"9,4","22,8",0,1,"19,4",100,"172,9","18,8",1,90,"0,96","0,6",1,0,0,0,"6,3",100,"2,5",,"234,3",1,,"1,9",,1,8,1356
Besnyő,Kistelepülés,2014,"-15,9","10,1","6,4","878788,5",0,"150,9","30,98",100,"47,8","57,5","22037,6038",0,,"59,5","43,8",0,"5,9",0,"63,81","2,5","19,93","35,7","2,8",100,"13,5","46,2",0,"35,7","21,4","7,7",1,"5,9",100,"210,6",0,1,100,"0,27","1,2",1,0,0,0,"5,9",100,"11,7",,"318,3",1,,"-5,3",,1,"9,5",483
Tiszabezdéd,Kistelepülés,2014,"-5,9","11,2","3,6","542233,2",0,"219,1","15,33","91,1","26,2","45,9","37982,6321","1,5",1878,"53,2","45,2",0,0,0,"82,13","0,8","61,19","31,9","14,1","94,1","26,8","38,4",0,"47,9","22,8",0,1,"102,2",100,"142,2","53,2",1,100,"1,5","1,6",1,0,0,0,"5,3",1,"1,5",,"197,6",1,,"-1,1",,100,"8,3",1118
Mátraverebély,Kistelepülés,2014,"-5,3","42,4","3,9","501262,8",9,"231,2","3,13","83,2","36,8","63,3","1806188,43","2,4",1886,"68,9","53,1",0,0,"1,1","67,8","0,2","59,07",106,"12,5","76,2","35,7","37,5",0,"42,4","19,8",0,1,"11,7",100,"153,2","74,2",1,100,0,"0,5",1,0,0,0,"5,3",100,"1,8",,"207,3",1,,"-0,5",,100,10,335
Tényő,Kistelepülés,2014,"24,8","5,2","12,4","1025719,6",0,"100,1",0,"91,5",0,"36,8","4376,1673","8,5",1547,"19,4","49,8",0,"6,5",0,"83,83","2,1","23,09","9,7","1,3",100,"16,4","48,1","20,7","32,3","35,3","5,5",1,"18,7",100,"124,8",0,1,100,"29,86","0,6",1,29,0,0,"6,5",100,"12,6",,"679,4",1,,"-2,6",,1,"8,9",727
Tiszanagyfalu,Kistelepülés,2014,"-0,6","7,3","5,2","590098,7",0,226,"6,51","96,7","34,1","60,4","32342,8115","1,4",1792,"33,5","46,3",0,"5,6","0,6","72,81","0,1","28,34","33,5","11,7",100,"85,2","43,5",0,"22,3","20,3",0,1,"124,4",100,"128,3","27,9",1,100,0,"1,7",1,0,0,0,"5,6",100,0,,"219,3",1,,"-6,7",,1,"9,1",645
Tiszabercel,Kistelepülés,2014,"-22,4","16,6","5,3",516830,0,"262,8","5,58","75,2",0,"71,5","2222474,88",0,1809,"55,3","50,4",0,"5,5","0,6","68,37","0,1","31,92","49,8","14,1",100,"8,5","43,6",10,"33,2","23,3","5,9",1,"17,7",100,"125,5","38,7",1,100,0,"0,6",1,"21,8",0,0,"5,5",100,"11,9",,"200,1",1,,"-0,6",,1,"8,3",1124
Dunaszekcső,Kistelepülés,2014,"-1,1","18,6","7,3","526835,1",0,"159,1","11,63",100,"31,4","43,5",0,0,943,"63,6","57,7",0,"5,3","2,7","76,41","2,1","48,44","47,7","8,7","99,7","13,1","34,1","9,9","37,1","14,7","2,9",1,"6,4",100,"179,2","47,7",1,100,"0,58","0,5",1,"31,7",0,0,"5,3",100,"10,1",,"283,1",1,,"-7,4",,1,"8,9",754
Taszár,Kistelepülés,2014,"-19,1",11,"10,4","755372,3",0,"222,8","11,34","95,3",84,"20,6","50369,6533",0,1908,21,"45,9",0,"5,2",0,"95,3","1,8","10,61","26,2","4,6",100,"46,5","47,7",0,21,"26,9",0,1,10,100,"245,3","36,7",1,100,0,0,1,0,0,0,"5,2",100,"1,6",,"360,6",1,,"-4,7",,100,10,326
Ököritófülpös,Kistelepülés,2014,"-26,4","24,5","4,3","465931,6",0,"288,3","5,78","80,2",0,"53,8","437810,686",0,1797,"55,6","53,5",0,"5,6","0,6",0,"1,2","64,88","22,3","14,6",100,"33,8",40,"10,1","8,3","23,2",0,1,"73,5",100,"100,2",89,1,90,0,0,1,0,0,0,"5,6",100,"2,5",,"174,7",1,,"1,7",,100,"7,4",1836
Dunaalmás,Kistelepülés,2014,"7,2","5,2","12,9","935417,1",0,"107,3","24,49",100,0,"11,2",0,0,,"32,6","44,8",0,0,"0,7","83,33","0,6","26,08","9,8","2,8","94,9","40,8","47,4","7,2","39,1","13,5","2,6",1,"3,9",100,"216,8",13,1,100,"21,65",0,1,0,0,0,"6,5",100,"4,9",,362,1,,"-6,5",,100,"8,7",870
Atkár,Kistelepülés,2014,"-2,9","6,5","10,4","941311,8",0,"94,3","14,4","99,5","71,7","15,5","6170,78484",0,1695,"17,7","47,9",0,"5,9","0,6","89,16","2,3","54,57","23,6","3,8",100,"5,4","49,1","10,7","29,5","13,6","3,8",1,0,100,"250,7","11,8",1,100,"5,37",0,1,0,0,0,"5,9",100,"10,2",,"345,7",1,,"-1,2",,1,"9,3",552
Majosháza,Kistelepülés,2014,"0,7","6,5","10,5",788881,0,"235,8","33,09",100,0,"127,6","273861,882","1,6",1550,"19,4","47,2",0,"6,5",0,"81,39","0,9","30,48","51,6","4,5",100,"21,4","43,2",0,"51,6","9,8","1,3",1,"3,9",100,191,0,1,100,"7,13","0,6",1,0,0,0,"6,5",1,"1,3",,"367,7",1,,"-2,6",,1,"9,3",585
Felsőszentiván,Kistelepülés,2014,"8,3","4,5","6,3","591488,9",0,"368,1","9,93","97,9","43,7","26,6","27195,7862",0,1776,"33,8","54,4",0,"5,6","0,6",0,"2,8","78,94","61,9",3,100,"9,6","44,5",0,"33,8","30,6","4,2",1,"10,7",100,"177,4","56,3",1,90,0,0,1,0,0,0,"5,6",100,"8,2",,"300,1",1,,"-21,7",,1,"8,6",925
Mátraderecske,Kistelepülés,2014,"-2,1","12,6","7,6","759314,7",0,238,"20,63","69,1","43,2","41,3","53712,9875",0,950,"31,6","53,4",0,"5,3","0,5","57,62","0,8","34,18","26,3","6,3",80,6,"44,2","480,7","47,4","32,1","2,9",1,10,100,"177,9","73,7",1,100,"0,72","1,1",1,0,0,0,"5,3",100,"3,9",,"248,4",1,,"-3,7",,1,"9,1",642
Szár,Kistelepülés,2014,"11,1","5,5","12,6","1116733,7",0,"139,9","12,02","99,8","118,1","8,1","75077,0972",0,1623,"9,2",48,0,"6,2",0,"93,63","14,7","16,46","24,6","1,7","80,9","29,4","48,1","11,2","18,5","8,3","0,6",1,"5,5",100,"237,8",0,1,100,0,0,1,0,0,0,"6,2",100,9,,345,1,,"-6,8",,100,"10,4",220
