Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Kulturális rendezvényeken részt vevők száma egy főre,Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),Házi segítségnyújtásban részesülők ezer főre,Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Önkormányzat által kiutalt lakások ezer főre (db),"Személygépkocsi, 1000 lakosra (db)",Indexpontszám,Rangsor
Márkó,Kistelepülés,2022,"8,4","0,6",21,"3025962,7",0,"246,9","54,86","87,1",0,"72,8","1759,1","41,3",1777,"16,9","54,9",0,"0,6","4,5","8,4","0,8","86,7","17,3","56,9",0,"8,4","8,3","5,1","199,2",0,"10,72",0,"437,3","10,4",774
Nyirád,Kistelepülés,2022,"1,7",0,"6,8","1831690,5",0,"243,1","49,93",99,0,"33,5","8219,6","1,3",1777,"22,5","55,2","5,6","1,1","2,7","28,1","2,2","95,2","75,3","50,8",0,"28,1","5,7","9,6","261,7",0,"6,53",0,"431,6","9,7",1088
Csetény,Kistelepülés,2022,"-3,4","0,6","7,8","2141275,1",0,"381,8","22,29",100,0,"97,6","6798,6",0,1775,"16,9",52,"5,6",0,"4,6","50,7","2,1","70,9","11,3","53,6","71,9","22,5","3,1","16,3","294,6",0,"17,52",0,"465,4","9,5",1217
Vácduka,Kistelepülés,2022,"41,3","1,1","20,2",2645572,0,"304,5","12,01",100,586,"78,5","101574,2","8,7",,"22,6","49,8","5,6","1,7",2,"8,5","0,9",100,"28,5","53,3",0,"22,6","23,1",0,"275,1",0,"5,37",0,"433,3","13,7",121
Vértesacsa,Kistelepülés,2022,"6,3","2,8","9,5","2178113,2",0,"156,5","12,83",100,0,"73,2","33710,8",0,,"28,3",52,0,0,"1,1",17,"1,8",100,"43,7","50,7","72,1","22,6","11,1",4,"260,6",0,"17,7",0,398,9,1526
Nyírtura,Kistelepülés,2022,"-8,4","1,1","13,2","1858169,1",0,"627,4","14,33","92,1",270,"66,6","4120,2","7,1",1768,"28,3","52,4","5,7","1,1","0,3","45,2","2,1",100,100,"51,7","72,2","8,5","8,6",0,"274,9",0,"15,52",0,"479,1","12,9",198
Soponya,Kistelepülés,2022,"8,7",4,"7,8","2152375,9",0,"185,4","20,62","94,1",0,"85,8","17287,1","4,5",1768,"28,3","50,7","5,7",0,"0,9","45,2","1,9","83,5","25,7","54,3","72,2","28,3",10,"10,7",306,0,"10,76",0,"407,8","9,7",1090
Váchartyán,Kistelepülés,2022,"-3,4","5,1",14,"2348901,4",0,"126,2","29,59","96,6",425,"58,3",64054,3,1766,"8,5","50,8","5,7","0,6","0,9","39,6","1,2","10,6",26,52,0,"45,3","5,3",0,"390,7",0,"5,73",0,"475,1",12,362
Sármellék,Kistelepülés,2022,"10,4","0,6","8,9",1557486,0,"498,5","15,75","92,8",282,"37,1",404739,0,1762,"39,7","53,8","5,7","1,1","0,7","34,1","3,5",76,"68,3","49,3","170,4","34,1","8,8","7,4","306,5",0,"1,11",0,"467,1",12,365
Gégény,Kistelepülés,2022,"-7,8","5,1","6,3","1763071,9",0,193,"7,55","90,8",0,30,"4299,5",0,1761,"51,1","43,3","5,7","0,6","0,3","39,8","6,8",100,"98,9","54,8",0,"8,5","10,2","39,8","284,5",0,"9,95",0,"356,1",9,1511
Lábod,Kistelepülés,2022,"10,2",4,"7,8","1385619,2",0,"313,8","12,76","99,5",103,21,"45448,9",0,"879,5","45,5","56,1","5,7","0,6","0,7","22,7","8,5","61,6","11,6","44,5","55,5","39,8","14,9","9,1","297,3","17,1","6,68",0,394,"10,4",768
Szurdokpüspöki,Kistelepülés,2022,"9,1","1,1","10,6","2136740,8",0,"308,8","7,66","98,3",217,"197,8","185840,8","1,1",1758,"22,8","60,4","5,7","1,1",2,"34,1","3,4","94,9","21,6","53,4",0,"28,4","13,2","3,4","327,1",0,"1,58",0,"465,3","11,2",540
Kálmánháza,Kistelepülés,2022,"-10,8","2,3","7,9","1868271,2",0,276,"24,99",92,276,"92,2","3656,4",0,1757,"51,2","46,5","5,7",0,1,"39,8","3,8","48,3","22,4","56,2","72,6","17,1","14,8","5,1","220,8","210,6","15,56",0,"406,9","11,4",477
Csengele,Kistelepülés,2022,"-3,4","2,3","6,8","1093435,9",0,"281,7","83,6","44,1",207,"40,2","2860,4",1,1748,40,"56,2","5,7",0,"1,4","51,5","2,2",100,"11,2","46,3",73,"17,2","19,4","2,3","80,7",0,"3,64",0,"509,7","9,9",995
Bercel,Kistelepülés,2022,40,0,"9,8","2041491,7",0,"306,3","68,56","88,3",103,"112,6","27474,6","1,4",1747,"34,3","60,3","5,7","0,6",2,"45,8","2,9",30,13,52,148,"34,3","16,7","0,6","275,3","28,6","8,71",0,"424,2","11,3",499
Újlengyel,Kistelepülés,2022,"12,9","0,6","9,6","2332504,6",0,"273,3",0,100,364,"140,1","138096,9",0,1747,"22,9","50,5","5,7","0,6","0,3","45,8","1,5",100,"13,3","58,8","406,5","8,6",13,"2,9","298,2",0,"7,87",0,"2065,3",12,350
Madocsa,Kistelepülés,2022,"-11,9","3,4","10,4","2433705,2",0,222,"29,3",100,0,"128,3",2730,0,1746,"45,8","52,4","5,7","1,1","1,3","40,1","2,3",100,"27,8","55,1","73,1","17,2","16,2","5,2","325,9","120,3","30,45",0,"489,7",10,951
Nagyfüged,Kistelepülés,2022,"8,9","10,3","5,4","1564462,7",0,"246,1","20,59","99,4",96,86,"2034,9",0,1746,"40,1","56,9","5,7","0,6","2,6","8,6","5,4",100,28,"46,5",0,"8,6","11,8","14,9",244,"5,7","9,26",0,"311,6","9,5",1228
Besnyő,Kistelepülés,2022,"6,7","4,6",9,2382066,0,"166,9","29,65","99,7",0,"50,4",0,"1,4",1741,"28,7","51,7","5,7",0,"1,3",23,"1,9","95,3","15,5","55,9",0,"28,7","3,5","5,7","334,3",0,"10,79",0,444,"9,3",1313
Tiszabezdéd,Kistelepülés,2022,"1,8","16,1","4,3","1417666,7",0,"256,8","17,52","93,7",0,"18,5","716,1",0,1741,46,"41,8",0,0,"0,3","40,2","4,8","94,1","22,8","48,3","73,3","17,2","13,9","72,9",297,"57,4","10,29",0,"303,3","8,4",1998
Mátraverebély,Kistelepülés,2022,"-4,7","32,2","4,9","1219926,6",0,"363,4","8,35","90,3",88,"48,3","108359,6",0,1739,"63,3","50,2",0,"1,2","0,6","97,8","7,7","76,1","35,5","44,9","755,5","28,8","17,4","9,8","240,9",69,"1,65",0,"320,3","10,1",901
Tényő,Kistelepülés,2022,"7,5","1,7","16,1",2543532,0,"190,2",0,100,457,"15,4",54265,"9,6",1739,"8,6","51,6","5,8",0,"0,8","8,6","0,5",100,"19,3","52,6","73,4","8,6","12,5","3,5","272,6",0,"28,45",0,"982,8","12,2",314
Tiszanagyfalu,Kistelepülés,2022,"-1,7","2,9","6,9","1419484,5",0,"336,2","6,14",100,125,"107,3",73071,0,1737,23,"57,1","5,8","1,2","1,9","34,5","4,7","71,2","70,5","46,7",0,"17,3","15,1","49,5","214,2","17,3","15,96",0,"330,5","10,7",690
Tiszabercel,Kistelepülés,2022,"-2,9","8,6","5,5","1088149,2",0,"502,3","17,96","84,1",0,"192,2","206260,5",0,1735,"51,9","62,9","5,8","0,6","0,5","46,1","9,5",100,"7,9",44,0,"17,3","10,1","15,6","230,5","103,7","16,04",0,"276,7","8,9",1582
Dunaszekcső,Kistelepülés,2022,15,"4,6","8,9","1306883,1",0,"200,5","9,05",100,0,"38,7","4193,9",0,1733,"46,2","61,4","5,8","1,7","3,8","17,3","4,2","90,1","13,6","40,3",44,"8,7","11,6",11,554,"46,2","7,51",0,"381,4","8,7",1726
Taszár,Kistelepülés,2022,"-37,7","1,7","12,2",2019086,0,"366,1","13,34","96,1",276,"88,4","198960,7",0,1732,"17,3","53,6","5,8",0,"2,3","17,3","2,2","98,7","46,3","52,4","73,7","8,7","5,7","8,1","359,1","23,1","15,75",0,"486,7","12,4",297
Ököritófülpös,Kistelepülés,2022,"1,8","7,5","4,7","1115877,4",0,"313,9","4,47","86,8",0,"40,2",0,0,,"28,9","54,3","5,8","0,6","0,5","23,1","10,1",100,"33,9","46,4",0,"17,4",23,"23,1","171,3","104,2","10,38",0,"242,5","7,9",2308
Dunaalmás,Kistelepülés,2022,"12,1","4,1","15,9","2413944,5",0,"152,2","12,76","91,5",300,"90,7",2894,"2,7",,"23,2","49,5",0,"1,2","1,8","17,4","2,6","95,6","40,6","51,3","73,9","52,1","10,3","1,7","185,9","11,6","15,53",0,"444,7",12,372
Atkár,Kistelepülés,2022,"14,1","1,2","13,8","2399397,8",0,"142,1","15,97","98,9",160,"48,4","1934,8","5,4",1721,"34,9","51,5","5,8","1,2","0,6","29,1","1,7",100,"7,5","56,2",0,"40,7","15,4","4,1","334,7","17,4","22,29",0,480,"11,6",434
Majosháza,Kistelepülés,2022,"2,3","2,9","11,1","2242851,6",0,206,"87,24",100,1047,"44,1","81049,6","19,8",1715,"29,2",50,"5,8",0,"4,6",35,"1,2",100,"22,1","53,2","74,4","52,5",0,"1,2","405,2",0,"3,31",0,"492,1","14,4",91
Felsőszentiván,Kistelepülés,2022,"9,4","1,8",8,"1457790,6",0,"920,9","36,74",100,112,"80,7","148049,6","1,2",,"46,8","64,1","5,9","0,6","1,5","52,7","1,7",100,"9,7","48,6","74,7","29,3","22,2","13,5","457,3","93,7","38,19",0,"408,1","11,4",486
Mátraderecske,Kistelepülés,2022,"-16,1",7,"10,5","1721866,5",0,237,"46,53","72,1",109,"166,2",0,0,853,"35,2","65,3","5,9","0,6","1,7","35,2","5,2",80,"7,2","49,6","532,7","64,5","4,9","9,4","284,3","123,1","13,3",0,"362,3","10,8",661
Szár,Kistelepülés,2022,"9,3","1,2","17,6","2756622,1",0,"389,7","23,69",100,0,"165,3",5747,"4,9",,"23,4","55,4","5,9",0,"1,3","23,4","1,4","80,5","30,1","55,6","248,3","23,4",0,"2,9","331,8",0,"27,03",0,"434,4","11,3",514
Pap,Kistelepülés,2022,"-10,7","0,6","9,6",1780239,0,"390,6",0,"93,8",0,"15,5",0,"1,6",1705,"35,2","43,5","5,9",0,"4,7","46,9","3,5",100,"43,6","52,4","74,8","8,8","19,3","97,4","303,8","76,2","9,88",0,"407,6",9,1572
Halmaj,Kistelepülés,2022,"0,6","4,1","7,2","1738397,8",0,640,"17,04","93,5",140,"125,6","3918,6",0,1704,"52,8","63,1","5,9",0,"0,1","76,3","8,2",100,"40,9","55,3","74,9","46,9","21,4","4,7","237,1","58,7","10,74",0,"338,6","12,1",347
Balatonszemes,Kistelepülés,2022,"-12,1","14,7",17,"1735808,4",0,"891,4","62,97","95,5",724,"237,6","4422,1","78,9",1701,"70,5","72,5","5,9","2,4","4,6","94,1","2,5","72,6","53,1","49,2","7010,5","399,8","12,5","6,5","493,8","41,2","47,06",0,495,"17,8",13
Nádasdladány,Kistelepülés,2022,"-4,7","2,4","5,4","2341608,6",0,"202,2","9,86","97,3",0,"78,5",0,0,1700,"29,4","48,5","5,9","0,6","0,3","29,4","2,5",100,"33,9","55,9",0,"8,8","10,5","5,3",280,"29,4","11,07",0,"404,1","9,4",1284
Markaz,Kistelepülés,2022,"27,2","0,6","17,8","2828335,3",0,"292,2","52,39","84,1",167,"156,3",8722,1,1699,"29,4","55,9","5,9","0,6","1,6","23,5","2,1",100,"32,3","54,8","75,1","23,5","18,8","12,4","390,2",0,"16,74",0,558,"12,6",245
Kálló,Kistelepülés,2022,-15,"44,8","3,4",1244998,0,"324,2","20,31","92,2",114,"48,4","67244,5",0,,"17,7","73,6","5,9",0,"0,2","8,8","8,2","83,9",12,"41,2",0,"8,8",14,"3,5","201,4",0,"5,98",0,"260,3","8,8",1636
Somogyvár,Kistelepülés,2022,"9,7","9,4","8,8",1510233,0,"511,6","23,12","92,2",0,"955,5","48382,2",0,1698,"23,6","54,4","5,9","0,6","1,4","23,6",7,"81,7","12,9","48,1","75,1","23,6","15,7","22,4","237,3",0,"11,88",0,"362,2","9,8",1046
Rábapaty,Kistelepülés,2022,"23,1","1,2","11,1","2455161,5",0,"204,7","17,13",100,248,"45,1","7092,2","8,7",1696,59,"52,5","5,9",0,"0,5","53,1","1,2","94,9","31,9","56,6","75,2","41,3","5,9",0,"367,9",0,"8,53",0,"468,8","12,5",265
Fábiánháza,Kistelepülés,2022,"18,6","5,3","4,5","1258919,5",0,"285,9","7,79","79,4",0,"4,6","40838,1",0,1694,"47,2","51,5","5,9",0,"1,4","8,9","7,5","51,2",60,"46,9",0,"8,9","12,6","50,2",209,0,10,0,"294,6","8,1",2181
Csökmő,Kistelepülés,2022,"1,8","2,4","5,9","1517744,1",0,"335,5","8,1","93,6",65,"86,7","124445,4",0,1690,"41,4","56,3","5,9",0,"2,6","65,1","3,5","55,7","17,6","50,5",0,"29,6","13,2","17,8","281,1","23,7","3,13",0,"343,2","9,4",1247
Ladánybene,Kistelepülés,2022,"-4,3","3,6","7,9",1725334,0,"326,2","12,27","52,9",235,"28,9","140301,1","1,3",1687,"29,6","49,4","5,9",0,"0,8","35,6","3,2",100,"7,5","51,6","72,6","17,8","14,9","1,8","190,9",0,"13,42",0,"501,5","10,2",845
Tác,Kistelepülés,2022,"-18,6","3,6","11,8","2426569,1",0,"536,3","17,32",100,0,"93,8","234943,9","3,3",1684,"35,6","49,3","5,9",0,"0,7","29,7","2,1","34,5","19,5","56,5",0,"17,8",20,"4,8","317,1","5,9","15,66",0,"461,4","10,4",775
Tiszasziget,Kistelepülés,2022,"7,7","1,8","11,1","1848707,7",0,"222,2","12,66",100,225,"68,7",91263,"4,6",1684,"23,8","50,4","5,9","1,2","3,3","17,8","1,5",100,"18,9","52,9",0,"17,8","4,2","11,3","282,1",0,"7,94",0,"406,2","11,8",402
Kunszállás,Kistelepülés,2022,"4,1","0,6","9,9","2316649,1",0,"348,7","84,25",82,286,"78,8",1700,"6,6",,"47,6","57,7","5,9",0,"0,8","47,6",2,100,17,"52,9","75,9","23,8","26,7","10,7","298,6",0,"29,08",0,"483,6","12,5",266
Járdánháza,Kistelepülés,2022,"-1,2","13,1",6,"1136832,9",0,"398,3",0,"75,5",0,"24,4","335075,1",0,1680,"17,9","54,3",6,"1,8","0,1","29,8","15,7",100,"15,2","42,5",0,"17,9","16,7","1,2","222,6",0,"23,05",0,"323,8","7,7",2416
Nagyvázsony,Kistelepülés,2022,"11,2","3,6","14,1","2029542,1",0,"361,8","40,73",100,536,"99,1",9146,0,1680,"47,6","52,5",6,0,"1,8","41,7",2,100,"12,8","58,6","301,3","53,6",10,"29,2",303,0,"9,82",0,"493,5","13,6",138
Csákánydoroszló,Kistelepülés,2022,16,"2,4","9,4",1803509,0,"157,8","9,06",100,0,"58,9","4932,4","3,3",,"47,7","52,8",6,"1,2","1,3","29,8","1,3","39,5","18,3","47,5","120,6","35,8","5,3",3,"267,6",0,"10,08",0,"435,6","9,6",1157
Szederkény,Kistelepülés,2022,"36,8","1,2","10,5","1887938,2",0,"516,3","54,99","95,2",0,"155,9","157817,1","11,8","836,5",9,"63,1",6,"1,2","1,8","47,8","2,9",100,"8,3","48,1","76,3","23,9","2,3","20,3","514,6",275,"20,5",0,431,"10,6",702
Tázlár,Kistelepülés,2022,"-5,8","5,4","7,1","1240226,2",0,"148,1","14,53","78,3",0,"36,7",31436,0,1673,"29,9","58,1",6,"0,6","3,4","29,9","2,1",100,"26,1","49,1","76,3",9,20,"10,8","250,4",0,"27,18",0,"494,3","7,8",2360
Vasmegyer,Kistelepülés,2022,"-22,4",6,"5,1",1294854,0,"206,5","26,74","94,1",147,"112,9","44098,5",0,1672,"29,9",52,6,0,"0,4","35,9","7,4",100,"69,2","47,9",0,"17,9","14,3","30,5","219,5",0,"7,97",0,"294,3","10,3",811
Balatonkeresztúr,Kistelepülés,2022,"3,5","8,4",18,"1693710,9",0,"583,3","43,82","92,6",536,"91,4",73211,"10,5","835,5","71,8",70,6,"1,2","5,2","101,7","2,6",100,"61,6","44,7","2000,5","71,8","11,9","3,6","231,6","119,7","53,23",0,"497,9","15,4",52
Izsófalva,Kistelepülés,2022,23,"8,4","8,2","1279912,5",0,"327,3","16,21","90,1",0,"40,4","94480,3",0,1671,"35,9","51,5",6,"1,2","2,2","29,9","8,4","92,3","22,1","42,3",0,9,19,"9,6","276,5",6,"23,06",0,"326,2","8,9",1604
Karancskeszi,Kistelepülés,2022,"10,3","12,6","9,8","1377684,1",0,"236,2","5,89","89,9",72,"18,3","41317,4",0,1670,"29,9","58,1",0,0,"1,5",9,"7,5","43,3","46,1","46,4",0,"29,9","9,8","13,2","293,4",0,"6,94",0,"365,3","9,2",1413
Jánkmajtis,Kistelepülés,2022,30,3,"6,6","1231861,3",0,"559,6","19,38","84,7",0,"62,6","153065,5",0,834,24,"57,2",6,"0,6","0,5",60,"7,7","68,7","11,9","47,7","76,5",9,"20,9","30,6","247,6","101,9","10,37",0,"321,9","8,5",1877
Berekböszörmény,Kistelepülés,2022,"-34,2",15,5,"835429,5",0,"536,9","6,07","89,1",0,"113,3","67307,7",0,1664,"66,1","51,7",6,0,"0,7","36,1",10,"65,8","26,6","36,4",0,24,"10,1","61,9","259,6",0,"2,22",0,"332,9","7,9",2328
Mátraterenye,Kistelepülés,2022,"10,2",6,8,"1678214,5",0,"551,3","23,73","81,8",70,"142,3","69848,6",0,1662,"66,2","59,7",6,0,"0,8","36,1","6,5",100,"37,5","48,8",120,"42,1","13,5","24,7","203,4",0,"3,97",0,"362,2","10,8",637
Dombegyház,Kistelepülés,2022,"-11,7","4,2","8,3","1282709,9",0,637,"46,81","86,6",47,"153,6",177655,0,"830,5","54,2","62,8",6,"1,8","0,6","42,1","4,1","95,8","10,6","46,8","76,8","30,1","8,5",174,"320,9","36,1","9,23",0,"370,9",11,587
Hegykő,Kistelepülés,2022,"-1,2","3,6","15,5",1672805,0,"345,8","16,64","98,3",630,"148,6","9817,1","5,8",1657,"48,3","51,1",6,"0,6","2,6","48,3","0,5","63,2","26,7","49,3","6653,4","132,8","28,6","1,8","346,4",0,"20,53",0,"500,3","14,4",88
Szendehely,Kistelepülés,2022,"15,2",3,18,2731469,0,"507,2","12,47","96,4",362,116,"59392,5","12,1",,"42,3","47,9",0,0,"0,7","54,4","1,9",100,"43,2","55,1",534,"36,3","7,7","9,1","353,7",0,"10,24",0,"435,3","13,8",116
Szamosszeg,Kistelepülés,2022,"-14,1",3,"5,8","1449317,5",0,405,"11,28","87,5",0,"199,3","29879,4",0,1653,"48,4","51,8",6,0,"0,1","42,3","6,9",100,"21,5","52,8",0,"18,1","16,4",20,"258,9",0,"10,41",0,"371,5",9,1552
Gyönk,Kistelepülés,2022,"41,3","2,4","11,2","1587586,8","67,4","374,5","10,53","79,8",113,"110,3","32656,9",0,824,"48,5","84,6","6,1","2,4","3,3","54,6","1,8","91,4","14,6","44,1","77,4","66,7","11,1","22,5","283,4","36,4","7,68",0,"394,4",15,68
Hercegszántó,Kistelepülés,2022,"8,1","2,4","8,8","1522235,9",0,"148,9","22,36",86,100,"94,5","102507,6",0,1645,"66,9","63,4","6,1","1,8","3,9","18,2","2,2","74,8","18,4",43,75,"30,4","5,3",14,"254,1",0,"26,31",0,"411,6","10,3",807
Ricse,Kistelepülés,2022,"-17,9","12,2","5,2","1077289,4",0,"545,9","9,3","99,7",0,"20,5","3046,9",0,,"42,7","62,8","6,1","0,6","1,6","9,1","9,2",100,"31,8","47,8",0,"18,3","24,6","18,9","207,2","109,7","10,28",0,"274,2","8,9",1614
Kazár,Kistelepülés,2022,"27,3","4,9","7,1","1555087,5",0,"267,9","6,55","85,6",90,"56,1","97783,2",0,1637,"24,4","59,4",0,0,"4,6","36,7","8,4","34,7","20,7","46,1","77,9","24,4","8,6","4,9","283,4",0,"3,98",0,"372,6","9,5",1227
Pálmonostora,Kistelepülés,2022,-7,"0,6",7,"1386654,9",0,"223,2","6,95","65,9",210,"34,2","61087,4",0,1637,"24,4","57,7","6,1",0,1,"30,5","3,6",100,17,"46,1",0,"24,4",7,"1,2","222,4",0,"15,79",0,"429,4","9,7",1117
Nemesnádudvar,Kistelepülés,2022,"-12,2","2,4","10,1","1405262,1",0,"406,1","44,46",100,69,"59,5","97688,7","1,4",1636,55,"54,9","6,1",0,"0,4","79,5","2,2","97,9","26,3","44,3","127,4","91,7","12,1","17,1","319,7","42,8","22,11",0,"482,9","11,6",437
Tardos,Kistelepülés,2022,"10,3","0,6","13,8","2371183,1",0,"206,3","15,31",100,142,"67,9","7544,2","1,4",1635,"9,2","51,5","6,1",0,"2,6","9,2","1,5",100,"19,5","54,8","66,8","30,6","13,6","3,1","298,5","12,2","23,43",0,"469,1","11,4",484
Kevermes,Kistelepülés,2022,-15,"11,6","6,3","1234639,5",0,"369,4","18,17",100,0,"248,9","4181,3",0,817,49,"61,1","6,1",0,"0,5","61,2","9,8",100,"24,1","44,7",0,"30,6","14,4","115,7","303,5","24,5","9,98",0,"295,6","9,4",1293
Tömörkény,Kistelepülés,2022,"21,3","3,7","7,3","1394611,4",0,"480,8","7,58","78,3",0,"62,7",0,"1,2",1632,"36,8","64,2","6,1",0,1,"42,9","1,7","73,2","9,4","48,2",0,"30,6",8,"15,9","225,5","79,7","24,39",0,"427,7","8,5",1945
Jászboldogháza,Kistelepülés,2022,"13,8","0,6","12,1","2071688,4",0,"193,2","11,07","97,2",195,90,0,"1,2",1631,"24,5","51,3","6,1","1,2","1,7","24,5","2,2",100,"11,6","57,4","78,2","18,4","9,1","4,9","332,9",0,"14,26",0,"429,8",11,588
Sirok,Kistelepülés,2022,"9,8","3,7","12,2","1900640,2",0,"338,8","150,97","67,4",153,"333,8",122114,0,1629,"30,7","68,8","6,1","4,3","0,2",43,"3,5",100,"66,5","48,8","812,2","36,8","11,1","7,4","323,5","79,8","13,1",0,"389,2","12,7",241
Kaszaper,Kistelepülés,2022,"-10,3","1,8","5,3","1704067,3",0,"404,5",35,"74,3",0,"93,1","160822,1",0,1627,"55,3","50,8","6,1",0,5,"36,9","4,4",100,"66,2",53,0,"30,7","11,8","115,6","247,7","24,6","16,44",0,"376,2","9,8",1045
Érpatak,Kistelepülés,2022,"17,9","6,2","4,7","1219466,9",0,"339,8","9,96","90,6",120,"60,6",0,0,1626,"30,8","44,3","6,2",0,"0,6","18,5","7,5",100,45,"45,3","181,2","18,5","7,4","49,8","214,6",0,"16,35",0,"334,6","9,5",1226
Zalaapáti,Kistelepülés,2022,"36,7","1,2","8,4","1315376,6",0,"392,7","11,03",100,273,115,3075,"3,3",813,"43,1",54,"6,2",0,"0,8","36,9","1,6",100,"14,7","44,3","73,4","9,2","8,3","33,2","275,5","36,9","2,48",0,"418,2","11,8",407
Magyaralmás,Kistelepülés,2022,"23,4","1,8","17,5","2847334,5",0,392,"19,02","99,5",0,"100,6","118145,8","6,5",1625,"9,2","56,9","6,2",0,"3,3","9,2","0,9",100,"84,3","57,1",0,"9,2","23,1",0,320,0,"19,22",0,"454,8","10,7",668
Nógrád,Kistelepülés,2022,"16,1","1,8","14,7",2209421,0,"215,4","9,31","92,4",0,45,39068,"2,7",1625,"30,8","58,7","6,2",0,"2,2","24,6","1,7","60,9","28,9","47,8","70,3","30,8",0,"17,8","337,8",0,"16,19",0,"411,1","9,8",1072
Geszteréd,Kistelepülés,2022,"-4,3","10,5","6,4","1520742,8",0,"276,6","12,48","93,8",103,"127,1","3066,1",0,1623,"49,3","51,1","6,2",0,"1,4","43,1","4,5","79,4","40,5","51,9","78,6","18,5","3,1",69,"277,9",0,"15,95",0,"384,5","9,9",1019
Vajszló,Kistelepülés,2022,"12,8","7,4","6,9","1439906,4",0,"683,5","11,47",89,123,1023,"141757,5","1,4",1622,"55,5","55,2","6,2","3,1","0,2","67,8","5,4","62,1","19,8","50,8","78,7","9,2",20,"84,5","254,6",0,5,0,"396,4","10,8",631
Dudar,Kistelepülés,2022,"-23,4","1,9",9,"2157204,8",0,365,"14,85",100,275,"49,3","45130,4","1,5",1617,"37,1","48,9","6,2",0,"1,2","30,9","2,2",100,"36,8","53,9","78,9","9,3","12,1","17,9","293,1",0,"19,06",0,"453,9",12,358
Bajót,Kistelepülés,2022,"7,2","3,1","6,9","2039807,2",0,"134,9","4,23","99,8",0,"49,2","3094,1",0,1616,"68,1","56,3","6,2","0,6","0,6","18,6","1,8","64,9",14,"47,2",79,"24,8",16,"3,7","264,2","49,5","11,82",0,"370,1","8,7",1719
Darnózseli,Kistelepülés,2022,"6,9","1,9",9,"2078862,6",0,"359,5","15,71",100,0,"25,1","79206,6","8,1",1615,"9,3","50,9","6,2","0,6","1,9",31,"0,7",100,"18,7","53,5",0,"37,2",10,"0,6","322,6","37,2","4,83",0,"489,8","9,8",1047
Csávoly,Kistelepülés,2022,"11,4","5,6","7,1","1645732,5",0,"959,5","56,5","98,4",102,"39,9","139852,8",0,1614,62,"61,4","6,2","0,6",1,31,"1,9",100,"23,3","48,8",0,31,"17,9","10,5","192,1","68,2","28,76",0,"410,8","11,3",501
Pusztamonostor,Kistelepülés,2022,"14,3","2,5","7,4",2437542,0,"253,1","18,85","94,8",0,"106,3","85002,8","2,7",1614,31,"49,4","6,2",0,"0,9","55,8","2,9",100,"16,3","64,9",0,31,"7,7","2,5","307,9",0,"14,57",0,"376,7",10,971
Miske,Kistelepülés,2022,"-17,3","9,9","7,3",1087693,0,"193,2","11,73","96,3",72,"33,9",0,0,1609,"18,6","56,4","6,2","1,2","1,5","37,3","5,6",100,"11,3","41,7",0,"24,9","11,1","21,1","315,1",0,"18,44",0,"398,4","9,6",1176
Győrság,Kistelepülés,2022,"44,5","6,2","15,7","2855831,5",0,"496,9","7,83","99,7",355,"107,8",0,26,1607,"18,7","51,3","6,2","0,6","0,8","9,3",1,100,"34,9","56,2",0,"31,1","7,1","3,1",303,0,"41,11",0,"452,4","13,6",130
Tállya,Kistelepülés,2022,"6,9","4,4","9,4","1594768,6",0,"515,1",74,"90,5",75,"77,5","37621,1",0,803,"68,5","53,4","6,2","1,9","0,7","62,3","8,1","80,4","11,1","47,6","573,2","68,5","8,3","19,3","321,3","87,2","25,31",0,391,"12,1",345
Győrtelek,Kistelepülés,2022,"-2,5","5,6","10,5","958675,4",0,"263,8","6,2","90,8",0,"23,4","2024,1",0,1603,"43,7","61,3","6,2","0,6","1,2","31,2","8,3",100,"30,9","37,2","79,6","9,4","10,3","46,8","175,9","37,4","10,34",0,"247,7","8,8",1677
